ImageName,Image_datetime,Average Pressure (hPa),Standard Deviation (hPa),x_position,y_position,radius,rmin,rmax
IMG_5086,05.03.2024 14:18,1008.913,0.006,,,,,
IMG_5088,05.03.2024 14:18,1008.913,0.006,,,,,
IMG_5091,05.03.2024 14:18,1008.913,0.006,,,,,
IMG_5092,05.03.2024 14:19,1008.910,0.008,,,,,
IMG_5097,05.03.2024 14:19,1008.910,0.008,,,,,
IMG_5100,05.03.2024 14:19,1008.910,0.008,,,,,
IMG_5101,05.03.2024 14:19,1008.910,0.008,,,,,
IMG_5108,05.03.2024 14:25,1008.835,0.008,,,,,
IMG_5110,05.03.2024 14:25,1008.835,0.008,,,,,
IMG_5113,05.03.2024 14:25,1008.835,0.008,,,,,
IMG_5117,05.03.2024 14:26,1008.831,0.006,1902,3861,208.0,190,210
IMG_5122,05.03.2024 14:26,1008.831,0.006,2124,1190,194.0,190,210
IMG_5124,05.03.2024 14:26,1008.831,0.006,2302,2907,210.0,190,210
IMG_5125,05.03.2024 14:26,1008.831,0.006,1814,1973,210.0,190,210
IMG_5126,05.03.2024 14:26,1008.831,0.006,1982,2302,208.0,190,210
IMG_5129,05.03.2024 14:26,1008.831,0.006,2061,2834,210.0,190,210
IMG_5132,05.03.2024 14:26,1008.831,0.006,1606,5298,198.0,190,210
IMG_5137,06.03.2024 12:53,1017.350,0.005,,,,,
IMG_5138,06.03.2024 13:26,1017.386,0.010,,,,,
IMG_5139,06.03.2024 13:26,1017.386,0.010,,,,,
IMG_5141,06.03.2024 13:34,1017.323,0.009,,,,,
IMG_5142,06.03.2024 13:34,1017.323,0.009,,,,,
IMG_5144,06.03.2024 13:35,1017.309,0.014,,,,,
IMG_5145,06.03.2024 13:35,1017.309,0.014,1630,4609,210.0,190,210
IMG_5146,06.03.2024 13:35,1017.309,0.014,,,,,
IMG_5148,06.03.2024 13:35,1017.309,0.014,,,,,
IMG_5151,06.03.2024 13:36,1017.288,0.016,,,,,
IMG_5152,06.03.2024 13:36,1017.288,0.016,2487,905,196.0,190,210
IMG_5153,06.03.2024 13:36,1017.288,0.016,2571,2790,210.0,190,210
IMG_5154,06.03.2024 13:36,1017.288,0.016,,,,,
IMG_5155,06.03.2024 13:43,1017.255,0.007,1974,645,204.0,190,210
IMG_5156,06.03.2024 13:43,1017.255,0.007,1954,2137,208.0,190,210
IMG_5157,06.03.2024 13:44,1017.257,0.005,2201,3850,210.0,190,210
IMG_5159,06.03.2024 13:44,1017.257,0.005,1728,4380,208.0,190,210
IMG_5160,06.03.2024 13:44,1017.257,0.005,2121,3077,210.0,190,210
IMG_5165,06.03.2024 13:44,1017.257,0.005,2179,724,196.0,190,210
IMG_5168,06.03.2024 13:44,1017.257,0.005,2278,1963,210.0,190,210
IMG_5169,06.03.2024 13:44,1017.257,0.005,2421,3255,210.0,190,210
IMG_5171,06.03.2024 13:48,1017.248,0.005,2081,3738,210.0,190,210
IMG_5178,06.03.2024 13:49,1017.244,0.003,1629,4382,210.0,190,210
IMG_5179,06.03.2024 13:49,1017.244,0.003,2123,5653,208.0,190,210
IMG_5180,06.03.2024 13:49,1017.244,0.003,1738,3044,208.0,190,210
IMG_5181,06.03.2024 13:49,1017.244,0.003,2257,1980,198.0,190,210
IMG_5182,06.03.2024 13:49,1017.244,0.003,1775,1857,210.0,190,210
IMG_5184,06.03.2024 13:49,1017.244,0.003,1798,4137,208.0,190,210
IMG_5192,06.03.2024 13:50,1017.243,0.004,2381,2913,208.0,190,210
IMG_5194,06.03.2024 14:46,1017.217,0.004,1796,2542,210.0,190,210
IMG_5197,06.03.2024 14:46,1017.217,0.004,,,,,
IMG_5201,06.03.2024 14:46,1017.217,0.004,2072,1876,200.0,190,210
IMG_5205,06.03.2024 14:46,1017.217,0.004,1873,4522,210.0,190,210
IMG_5207,06.03.2024 14:46,1017.217,0.004,1664,1908,210.0,190,210
IMG_5211,07.03.2024 10:33,nan,nan,,,,,
IMG_5213,07.03.2024 10:41,1017.726,0.009,1730,1432,210.0,190,210
IMG_5216,07.03.2024 10:41,1017.726,0.009,,,,,
IMG_5219,07.03.2024 10:41,1017.726,0.009,1925,5478,198.0,190,210
IMG_5220,07.03.2024 10:41,1017.726,0.009,2085,1150,210.0,190,210
IMG_5221,07.03.2024 10:41,1017.726,0.009,2167,2439,210.0,190,210
IMG_5224,07.03.2024 10:42,1017.724,0.006,2128,3795,208.0,190,210
IMG_5225,07.03.2024 10:42,1017.724,0.006,1717,4484,210.0,190,210
IMG_5227,07.03.2024 10:54,1017.638,0.007,2165,726,202.0,190,210
IMG_5230,07.03.2024 10:54,1017.638,0.007,1540,4317,210.0,190,210
IMG_5232,07.03.2024 10:54,1017.638,0.007,,,,,
IMG_5236,07.03.2024 10:55,1017.635,0.007,2182,5200,190.0,190,210
IMG_5241,07.03.2024 10:55,1017.635,0.007,1999,4860,206.0,190,210
IMG_5243,07.03.2024 10:55,1017.635,0.007,1831,5385,210.0,190,210
IMG_5247,07.03.2024 10:55,1017.635,0.007,1863,952,190.0,190,210
IMG_5249,07.03.2024 11:12,1017.727,0.010,2169,3365,210.0,190,210
IMG_5254,07.03.2024 11:12,1017.727,0.010,1530,4107,210.0,190,210
IMG_5256,07.03.2024 11:12,1017.727,0.010,2105,774,204.0,190,210
IMG_5257,07.03.2024 11:12,1017.727,0.010,2336,1545,210.0,190,210
IMG_5259,07.03.2024 11:12,1017.727,0.010,,,,,
IMG_5261,07.03.2024 11:13,1017.723,0.008,,,,,
IMG_5262,07.03.2024 11:13,1017.723,0.008,,,,,
IMG_5263,07.03.2024 11:13,1017.723,0.008,,,,,
IMG_5265,07.03.2024 11:13,1017.723,0.008,,,,,
IMG_5272,07.03.2024 11:13,1017.723,0.008,,,,,
IMG_5273,07.03.2024 11:17,1017.677,0.009,,,,,
IMG_5274,07.03.2024 11:17,1017.677,0.009,,,,,
IMG_5275,07.03.2024 11:17,1017.677,0.009,,,,,
IMG_5276,07.03.2024 11:19,1017.690,0.028,,,,,
IMG_5277,07.03.2024 11:19,1017.690,0.028,,,,,
